,State,year,contestedFrac
877,RI,1978,1.0
878,RI,1980,1.0
879,RI,1982,1.0
880,RI,1984,1.0
881,RI,1986,1.0
882,RI,1988,1.0
883,RI,1990,1.0
884,RI,1992,1.0
885,RI,1994,1.0
886,RI,1996,1.0
887,RI,1998,1.0
888,RI,2000,1.0
889,RI,2002,1.0
890,RI,2004,1.0
891,RI,2006,0.5
892,RI,2008,1.0
893,RI,2010,1.0
894,RI,2012,1.0
895,RI,2014,1.0
896,RI,2016,1.0
897,SC,1972,0.8333333333333334
898,SC,1974,1.0
899,SC,1976,0.8333333333333334
900,SC,1978,0.6666666666666666
901,SC,1980,0.6666666666666666
902,SC,1982,0.8333333333333334
903,SC,1984,0.8333333333333334
904,SC,1986,0.8333333333333334
905,SC,1988,1.0
906,SC,1990,0.5
907,SC,1992,0.8333333333333334
908,SC,1994,0.8333333333333334
909,SC,1996,0.6666666666666666
910,SC,1998,0.6666666666666666
911,SC,2000,0.8333333333333334
912,SC,2002,0.5
913,SC,2004,0.6666666666666666
914,SC,2006,1.0
915,SC,2008,1.0
916,SC,2010,1.0
917,SC,2012,0.7142857142857143
918,SC,2014,0.7142857142857143
919,SC,2016,1.0
920,SD,1972,1.0
921,SD,1974,1.0
922,SD,1976,1.0
923,SD,1978,1.0
924,SD,1980,1.0
925,SD,1982,1.0
926,SD,1984,1.0
927,SD,1986,1.0
928,SD,1988,1.0
929,SD,1990,1.0
930,SD,1992,1.0
931,SD,1994,1.0
932,SD,1996,1.0
933,SD,1998,1.0
934,SD,2000,1.0
935,SD,2002,1.0
936,SD,2004,1.0
937,SD,2006,1.0
938,SD,2008,1.0
939,SD,2010,1.0
940,SD,2012,1.0
941,SD,2014,1.0
942,SD,2016,1.0
943,TN,1972,0.875
944,TN,1974,0.625
945,TN,1976,0.625
946,TN,1978,0.75
947,TN,1980,0.625
948,TN,1982,0.7777777777777778
949,TN,1984,0.5555555555555556
950,TN,1986,0.7777777777777778
951,TN,1988,0.6666666666666666
952,TN,1990,0.5555555555555556
953,TN,1992,0.8888888888888888
954,TN,1994,0.8888888888888888
955,TN,1996,1.0
956,TN,1998,0.5555555555555556
957,TN,2000,0.6666666666666666
958,TN,2002,0.7777777777777778
959,TN,2004,0.8888888888888888
960,TN,2006,1.0
961,TN,2008,0.6666666666666666
962,TN,2010,1.0
963,TN,2012,0.8888888888888888
964,TN,2014,0.8888888888888888
965,TN,2016,1.0
966,TX,1972,0.5416666666666666
967,TX,1974,0.6666666666666666
968,TX,1976,0.75
969,TX,1978,0.8333333333333334
970,TX,1980,0.75
971,TX,1982,0.6666666666666666
972,TX,1984,0.6666666666666666
973,TX,1986,0.6296296296296297
974,TX,1988,0.5185185185185185
975,TX,1990,0.5185185185185185
976,TX,1992,0.8333333333333334
977,TX,1994,0.8333333333333334
978,TX,1996,0.8
979,TX,1998,0.6333333333333333
980,TX,2000,0.7
981,TX,2002,0.71875
982,TX,2004,0.78125
983,TX,2006,0.84375
984,TX,2008,0.75
985,TX,2010,0.8125
986,TX,2012,0.8611111111111112
987,TX,2014,0.6388888888888888
988,TX,2016,0.7222222222222222
989,UT,1972,1.0
990,UT,1974,1.0
991,UT,1976,1.0
992,UT,1978,1.0
993,UT,1980,1.0
994,UT,1982,0.6666666666666666
995,UT,1984,1.0
996,UT,1986,1.0
997,UT,1988,1.0
998,UT,1990,1.0
999,UT,1992,1.0
1000,UT,1994,1.0
1001,UT,1996,1.0
1002,UT,1998,0.6666666666666666
1003,UT,2000,1.0
1004,UT,2002,1.0
1005,UT,2004,1.0
1006,UT,2006,1.0
1007,UT,2008,1.0
1008,UT,2010,1.0
1009,UT,2012,1.0
1010,UT,2014,1.0
1011,UT,2016,1.0
1012,VT,1972,1.0
1013,VT,1974,1.0
1014,VT,1976,1.0
1015,VT,1978,1.0
1016,VT,1980,0.0
1017,VT,1982,1.0
1018,VT,1984,1.0
1019,VT,1986,0.0
1020,VT,1988,1.0
1021,VT,1990,1.0
1022,VT,1992,1.0
1023,VT,1994,1.0
1024,VT,1996,1.0
1025,VT,1998,1.0
1026,VT,2000,1.0
1027,VT,2002,1.0
1028,VT,2004,1.0
1029,VT,2006,1.0
1030,VT,2008,0.0
1031,VT,2010,1.0
1032,VT,2012,1.0
1033,VT,2014,1.0
1034,VT,2016,0.0
1035,VA,1972,0.8
1036,VA,1974,0.7
1037,VA,1976,0.6
1038,VA,1978,0.5
1039,VA,1980,0.5
1040,VA,1982,0.8
