,State,raceYear,AreaNumber,RepVotes,RepStatus,DemVotes,DemStatus,Dem Vote %,Winner,imputedRep,imputedDem,centeredRep,centeredDem
1807,Florida,1978,14,38081.0,Challenger,65202.0,Incumbent,0.631294598,D,38081.0,65202.0,45935.9316657,55680.7314658
1808,Florida,1978,15,37897.0,Challenger,108837.0,Incumbent,0.741729933,D,37897.0,108837.0,45713.9781606,92943.8325594
1809,Florida,1980,1,75939.0,Challenger,119829.0,Incumbent,0.612096972,D,75939.0,119829.0,87911.8101858,105465.528763
1810,Florida,1980,2,57588.0,Challenger,138252.0,Incumbent,0.705943627,D,57588.0,138252.0,66667.5268963,121680.230015
1811,Florida,1980,3,31208.0,Challenger,104672.0,Incumbent,0.770326759,D,31208.0,104672.0,36128.3631899,92125.3438371
1812,Florida,1980,4,76924.0,Challenger,147775.0,Incumbent,0.657657577,D,76924.0,147775.0,89052.1087548,130061.742257
1813,Florida,1980,5,177603.0,Challenger,140903.0,Challenger,0.442387271,R,177603.0,140903.0,205604.514471,124013.46418
1814,Florida,1980,6,1.0,Incumbent,0.0,0,0.0,R,141879.25,51440.0,164248.432232,45274.0722159
1815,Florida,1980,7,52138.0,Challenger,132529.0,Incumbent,0.71766477,D,52138.0,132529.0,60358.2607022,116643.225441
1816,Florida,1980,8,61820.0,Challenger,151613.0,Incumbent,0.710354069,D,61820.0,151613.0,71566.7589208,133439.695001
1817,Florida,1980,9,58734.0,Challenger,139468.0,Incumbent,0.703665957,D,58734.0,139468.0,67994.2092923,122750.472469
1818,Florida,1980,10,272393.0,Incumbent,72646.0,Challenger,0.210544315,R,272393.0,72646.0,315339.439707,63938.1852682
1819,Florida,1980,11,137520.0,Challenger,201713.0,Incumbent,0.594614911,D,137520.0,201713.0,159201.887525,177534.388198
1820,Florida,1980,12,128561.0,Challenger,107164.0,Challenger,0.454614487,R,128561.0,107164.0,148830.380033,94318.6367601
1821,Florida,1980,13,42830.0,Challenger,127828.0,Incumbent,0.749030224,D,42830.0,127828.0,49582.7286408,112505.717403
1822,Florida,1980,14,32027.0,Challenger,95820.0,Incumbent,0.749489624,D,32027.0,95820.0,37076.4896143,84334.4012388
1823,Florida,1980,15,70433.0,Challenger,132952.0,Incumbent,0.653696192,D,70433.0,132952.0,81537.7148345,117015.521953
1824,Florida,1982,1,28373.0,Challenger,82569.0,Incumbent,0.744253754,D,28373.0,82569.0,31499.3937952,75113.7700329
1825,Florida,1982,2,49101.0,Challenger,79143.0,Incumbent,0.617128287,D,49101.0,79143.0,54511.3923356,71997.1066831
1826,Florida,1982,3,13972.0,Challenger,73802.0,Incumbent,0.840818466,D,13972.0,73802.0,15511.5613473,67138.3504217
1827,Florida,1982,4,41457.0,Challenger,83895.0,Incumbent,0.669275321,D,41457.0,83895.0,46025.1072699,76320.0442892
1828,Florida,1982,5,69993.0,Incumbent,49070.0,Challenger,0.412134752,R,69993.0,49070.0,77705.4618796,44639.4251537
1829,Florida,1982,6,54059.0,Challenger,85825.0,Challenger,0.613544079,D,54059.0,85825.0,60015.7096245,78075.7828371
1830,Florida,1982,7,29632.0,Challenger,85331.0,Incumbent,0.742247506,D,29632.0,85331.0,32897.1218038,77626.3865456
1831,Florida,1982,8,1.0,Incumbent,0.0,0,0.0,R,176859.0,53966.0,196346.924443,49093.3608691
1832,Florida,1982,9,95009.0,Challenger,90697.0,Challenger,0.488390251,R,95009.0,90697.0,105477.951048,82507.8855342
