,State,cycle,mean,std,alpha,beta,stdv of votePct
160,NC,1970,0.56943043864266685,0.042637629828091626,76.226564598211823,57.638012047726974,0.13960486641147524
161,NC,1980,0.54165966098129859,0.019362083475809443,358.16289606773466,303.06946415430639,0.11976790581229642
162,NC,1990,0.46738505749652398,0.033091039067368364,105.78585571797802,120.54969785021618,0.14035355911434469
163,NC,2000,0.49663112118890995,0.037660006767426174,87.040727090292052,88.221602185249367,0.15616572693455635
164,NC,2010,0.48101099083235654,0.024516662640965491,199.29597578555672,215.03130484619913,0.14675901167022559
165,ND,1970,0.39338148155527686,0.11827006451215342,6.3177202143910671,9.7423144100484649,0.0
166,ND,1980,0.72777320885251628,0.051801858163444701,53.004141325151402,19.826433750184638,0.0
167,ND,1990,0.561723286296956,0.022466631403286287,273.41731203558635,213.33002193739731,0.0
168,ND,2000,0.56940451290221328,0.082135832456447747,20.124667563204781,15.21869046645118,0.0
169,ND,2010,0.36562844124955624,0.095883890865142651,8.8586488070434015,15.369906216653494,0.0
170,OH,1970,0.47363761896040713,0.021463608489209883,255.8400184028755,284.31981722086954,0.19954006044613609
171,OH,1980,0.51224735909376595,0.023532365442771049,230.60263778984643,219.57564755614993,0.21493942813030514
172,OH,1990,0.47130670151398296,0.024049054855067243,202.58431124999845,227.25110292772271,0.19257570993927942
173,OH,2000,0.48009271650238611,0.042282442528093538,66.547867280630186,72.066748174173199,0.16295870372519505
174,OH,2010,0.43870361432472543,0.037292538302438415,77.237999033938593,98.821637841465744,0.16897013056098578
175,OK,1970,0.62343954454187056,0.027479102025691465,193.20537043305376,116.69696432344479,0.17152522063389994
176,OK,1980,0.60619602806813733,0.020408320287187524,346.84334484903786,225.32032628945424,0.19797470146146978
177,OK,1990,0.43957117298083614,0.096031780801228039,11.302613563320165,14.410204423979749,0.10616894523176605
178,OK,2000,0.40672173797892741,0.028673511327608571,118.96224822856263,173.52826093307496,0.16137126557673048
179,OK,2010,0.30305499362642241,0.017992584716584107,197.41862294823147,454.00975506949067,0.071478412055319865
180,OR,1970,0.6028220194743511,0.065397298278519422,33.144845710225191,21.837959561431678,0.10448889568197028
181,OR,1980,0.57865696338964645,0.027712949633288061,183.12283490267714,133.3389835639727,0.15875850865947921
182,OR,1990,0.5766715768943802,0.016177006485328271,537.36873354678687,394.47662710154657,0.16588292597373297
183,OR,2000,0.5587650263900541,0.019626823629472379,357.06660466858756,281.96158751345496,0.17665506633987788
184,OR,2010,0.56883040765696957,0.012806963550757704,850.02335139653792,644.31193721401814,0.18383828480617095
185,PA,1970,0.52495628281012596,0.034533881300101835,109.24641017455852,98.85931929638943,0.16959449979970681
186,PA,1980,0.51685602155557386,0.023887452784732109,225.67452308729179,210.95485468039396,0.20103398950784959
187,PA,1990,0.50530271116828929,0.013695612689011422,672.90515381556122,658.78204861358324,0.18124784216891593
188,PA,2000,0.51176230835845293,0.035138344015772698,103.05140308557388,98.31435090308004,0.17104157514862903
189,PA,2010,0.48770521383619053,0.01752160348216791,396.41772159911153,416.40467675289688,0.18192614154499728
190,RI,1970,0.64349322069075465,0.087983340374406596,18.426689393812048,10.208716234909275,0.073679781706524755
