,State,cycle,expectedCs,stdvCs,expectedCu,stdvCu,expStdv,stdvObs,stdvCsObs,ndist
118,IN,2000,0.01869252314753873,0.25972481300354616,0.0025662533816724095,0.039121685752470235,0.148088610027624,0.032979697055589043,0.22863873652055242,9
119,IA,2000,-0.027159039382902036,0.32262550136171475,-0.0029226482908598886,0.032300481590133899,0.095624085983340434,0.041803995798655395,0.45497891946883701,5
120,KS,2000,-0.054642503073908118,0.17906326130680714,-0.0062404268342409492,0.027448621149245147,0.15599000784306005,0.011166609285739074,0.12268672278046303,4
121,KY,2000,0.054528747523351413,0.19083028736799884,0.0082855864164917813,0.026833343291390907,0.13713696201568945,0.026033658904363443,0.20102916434108531,6
122,LA,2000,0.11500556768521583,0.1988828442598366,0.022165220711173276,0.034984630534072816,0.17757858890499392,0.040596353671089311,0.31779317041750238,7
123,MD,2000,-0.27037856813332983,0.11798081017032626,-0.05220156046430665,0.024998275383773312,0.18961818071571926,0.024213814382591205,0.11414390086346295,8
124,MA,2000,-0.022588316790015456,0.19687832335216854,-0.0017055411387878468,0.015162244529849395,0.075012801029434195,0.020801256366806881,0.29808223750561902,10
125,MI,2000,0.33073383319000632,0.14698572761493839,0.065168877006592699,0.02972775491549345,0.19634084023572726,0.030521714079011081,0.13159632319586481,15
126,MN,2000,-0.055767975532157427,0.19829340758691222,-0.0087826849936201573,0.030225410975067885,0.15235542753468931,0.024938214468106453,0.18979124182723114,8
127,MS,2000,0.028847806595734393,0.15441390985000839,0.0073902147510763044,0.027460714483656317,0.18263784385775109,0.026538755074129668,0.13741147926817382,4
128,MO,2000,0.35311720030602417,0.2088331198178886,0.066892943041070907,0.04086981637959216,0.18708651809178201,0.043733022097857094,0.22020977785091031,9
129,NE,2000,-0.11106527425444337,0.3248896827552582,-0.016323882813278904,0.037984730420968768,0.10708243768877276,0.03861192918827662,0.35115846725595568,3
130,NV,2000,0.089406777581701499,0.28420217549744442,0.012181388535244716,0.04494217252046228,0.16041109409983892,0.028570277555135946,0.2254233042240491,3
131,NJ,2000,-0.17685502951014456,0.19541054987613715,-0.03462623175027487,0.038376341152371228,0.19388392474111057,0.02570574777026647,0.13153178724112763,13
132,NM,2000,0.19756035207746428,0.280236037522684,0.026055758426762689,0.035086714639442351,0.12055407621291277,0.030256404159142901,0.2717394254890364,3
133,NY,2000,-0.065733658655501237,0.10685793160006359,-0.01401086101995328,0.022281048971816531,0.20573344922706438,0.039872312316742986,0.19053509641345265,29
134,NC,2000,-0.16732758791080701,0.21801221596254441,-0.027170884134935427,0.035726180636251124,0.16218306364349916,0.059515921665384025,0.39119435415127402,13
135,OH,2000,0.28255650106240721,0.12711414446207275,0.0483444084841907,0.022605273141869438,0.16997679555480397,0.037002111387444206,0.19451503591124897,18
136,OK,2000,0.26102271225421475,0.14629572830185644,0.043658240176713589,0.025736516227483863,0.16371285665825588,0.025103367925433828,0.14010717284566274,5
137,OR,2000,-0.19303765441941756,0.13483598725946472,-0.03475691709186414,0.024591019930644154,0.17957410529650425,0.021565685489798654,0.12014516774228035,5
138,PA,2000,0.20711071487429686,0.12005556733751638,0.036586706414834087,0.02144046258078134,0.17653422487799461,0.026439977016809703,0.15355392462941961,19
139,SC,2000,0.28343051640418482,0.1560311386289516,0.041269398883791129,0.024271859617438857,0.14329358255773927,0.026912348631210972,0.17692861822685563,6
140,TN,2000,-0.012699798554609058,0.29462706776378866,-0.0035450082940306784,0.067238983378909545,0.2244726262272006,0.06376329147794417,0.3071747681044027,9
141,TX,2000,0.25543632837236829,0.10512797732416251,0.046059638205679307,0.019285055558982602,0.18000384386390222,0.041134216072280558,0.23654885537427853,32
142,UT,2000,0.35389281916637672,0.1901377240716996,0.056166643951334479,0.033729571312326727,0.15259679748222274,0.032624367635840028,0.15570778349653724,3
143,VA,2000,0.30297711923484733,0.16633246037027935,0.041604534064053102,0.023698667803916586,0.13611881002782927,0.032936728175093279,0.23528589615771239,11
144,WA,2000,-0.1335692391737778,0.17646457468629023,-0.020913444839266986,0.027708279107470458,0.15446564063301921,0.023412148384751336,0.15545294051566125,9
145,WV,2000,-0.23790349314300446,0.26128425182263032,-0.036623434333947595,0.040316780632740877,0.14616860400093293,0.013837242057405288,0.094441450065249219,3
146,WI,2000,-0.017412936130827408,0.2004870769701467,-0.002813668384126158,0.034371618208459354,0.17239621780179326,0.029537434949983132,0.18458544744652866,8
147,AL,2010,0.28078388643032692,0.10446689450165572,0.050192470541604021,0.019396590007169413,0.17853447698744476,0.011000834392905043,0.058420037667232923,7
148,AZ,2010,0.024861327197613848,0.22097381138523395,0.0038426382578269744,0.035146288590743202,0.15816743815604364,0.046515499399392243,0.30408254811228447,9
149,AR,2010,0.01183039222326804,0.21683803986745359,0.00084779500210282685,0.01177986534814369,0.050764054195333724,0.0044796380506482384,0.18386830937102663,4
150,CA,2010,-0.072585908810572419,0.091390071582296575,-0.01260896815679294,0.015877488764457156,0.17321193935352516,0.0092754380192348069,0.058412526746440097,53
151,CO,2010,0.13892341516114903,0.22676545987825927,0.01925401904999656,0.031855565898695058,0.13958380274036991,0.008639898287541305,0.050400240282972214,7
152,CT,2010,-0.075953813705486664,0.2925674755173257,-0.0069992206982962034,0.024962173922704417,0.081392795925704697,0.013541493919366591,0.05819724523184746,5
153,FL,2010,0.25649704866010414,0.10892158530867137,0.042693595771837775,0.018494970725146442,0.16605093051952768,0.015867841135737408,0.090938537580481663,27
154,GA,2010,0.38382230208008866,0.077815914090862942,0.078112873963671364,0.016660590292266325,0.20336815165375285,0.017865617936700502,0.088325385756673189,14
155,IL,2010,-0.015198338856725965,0.11779578853092541,-0.0029276611216702501,0.0222865500177921,0.18892554119342853,0.026879013269130156,0.14890909258521673,18
156,IN,2010,0.2551242696288889,0.16190528603575252,0.035240018827923041,0.022912634209263826,0.13735443077144607,0.017402491229011996,0.12819161016456498,9
157,IA,2010,0.013697469846075823,0.20167095468678686,0.00079599531808822804,0.015627586998492062,0.076654097079982414,0.0075753221606677731,0.12047945270303369,4
158,KS,2010,0.035996424330747491,0.20924497873902712,0.0026758525389971341,0.01330022691579937,0.061081091883488668,0.013110851024393759,0.23785994295520543,4
159,KY,2010,0.25417652582858052,0.12510653984073386,0.039841605542963308,0.020548337728145526,0.15574492487362002,0.0034826377022857667,0.026230359299807389,6
160,LA,2010,0.28353945651896828,0.080243393651317926,0.071862187924485788,0.021260704858527629,0.25313394560786867,0.017926021230366549,0.069137313431153036,6
161,MD,2010,-0.19189666522696827,0.11720069435290326,-0.029669979672336522,0.018486856127149717,0.1546868642209884,0.0079230482199128868,0.057254314369121512,8
162,MA,2010,-0.14315717837219322,0.20198558193316984,-0.012249376117564541,0.016996836765669116,0.081557040839582443,0.0064852917496538726,0.069909651143582649,9
163,MI,2010,0.35891180439090831,0.097277881003247996,0.064834347096332165,0.018413246597349765,0.18036579964640073,0.0076603542897111122,0.055985384804154999,14
164,MN,2010,0.10018653522449983,0.16847225416710529,0.012505840830488829,0.021668128560085275,0.12828306669597608,0.010654156218483236,0.085375147283814262,8
165,MS,2010,0.37691310950537238,0.071955945791146961,0.074904445329657482,0.018002892575095047,0.19803246495512453,0.010303035708292045,0.029314264621871561,4
166,MO,2010,0.36328577466761303,0.083720882280818212,0.070096165160157084,0.018143166671800867,0.19232278177844081,0.017029255377631319,0.072556342702570067,8
167,NE,2010,0.27888829303818008,0.21410726869849439,0.037851336195069279,0.030004178400665733,0.1335000817968135,0.0042053600548884705,0.018562638689041649,3
168,NV,2010,0.053328810617722378,0.18618695458261678,0.0073778713981554897,0.024785652948396762,0.13341738966805788,0.0015010279354847702,0.015209196482105898,4
169,NJ,2010,0.11244579637533023,0.12669188226274372,0.020999077427279661,0.023631820434849942,0.18683840941301288,0.017760768086177523,0.096401074968967784,12
170,NM,2010,-0.35955832985678843,0.1771896847509756,-0.051916032095497597,0.028655961856900319,0.14127915602886298,0.013952845746227375,0.044801936175739507,3
171,NY,2010,0.085976891618183601,0.13913535846208278,0.0178683883739113,0.029168759313437074,0.21008466351332572,0.021430535635299151,0.090936194226217862,27
172,NC,2010,0.34685154624880932,0.093304578655223916,0.053425299994410855,0.015673855639315094,0.15361880183548079,0.015422854769643059,0.083165016599196465,13
173,OH,2010,0.36748186217443907,0.079646998175124897,0.064856476973740501,0.015278989566834015,0.17614564308235106,0.0071352980210519336,0.022895169996546193,16
174,OK,2010,-0.0077216733737664085,0.29455877006952624,-0.00059226205853111667,0.024490304953632525,0.080829867810928796,0.020943874298918069,0.3002699644315911,5
175,OR,2010,-0.13139268833330819,0.12923615064255434,-0.024722040751194774,0.024343408899583887,0.18752039824004252,0.0091574574362643536,0.046174604777792574,5
176,PA,2010,0.36203971033486548,0.071048485898600813,0.067685518303697567,0.013864902363015717,0.18693079259713546,0.0024206533410412365,0.022204919323722275,18
177,SC,2010,0.24762303447710984,0.12367119309034329,0.036944930088068817,0.018932883909430893,0.14905582323288227,0.022176244934013024,0.16489075969627834,7
178,TN,2010,0.37313898545991248,0.10837965870983859,0.077809822143249635,0.023759132585209397,0.20815811637852394,0.0027298330307658427,0.021641947390502285,9
179,TX,2010,0.28917515251047959,0.061141002397465914,0.058206803555282592,0.012539261064734504,0.20122408895780536,0.0078011692892781892,0.037421388151169119,36
180,UT,2010,0.1332578480931951,0.171810086516027,0.014935552014214178,0.018776063474684242,0.10560233813350492,0.009991832736445605,0.057450326658239972,4
181,VA,2010,0.31203931953988856,0.13381395878699701,0.046964852726642019,0.021262908140859134,0.14948052672395398,0.00679410858136966,0.04713287146266798,11
182,WA,2010,-0.074629736706127214,0.13991352596672646,-0.012229518500282741,0.022728353970857498,0.16216189049354948,0.0062492773237363105,0.041747369172814588,10
183,WV,2010,0.051791683570683915,0.33608210835734886,0.0071140606375990215,0.032855056027081803,0.086130173241918448,0.024764777402108171,0.29686716096557558,3
