,State,cycle,AreaNumber,alpha,beta,alphaCen,betaCen,alphaCenR,betaCenR,mean,std,meanCen,stdCen
1183,NH,1970,1,5.4153338111227507,4.543079239466965,23.962137787364234,16.331077688226394,23.962137787364234,16.331077688226394,0.54379485803735228,0.15046095128418857,0.59469410680019674,0.076400979315971049
1184,NH,1970,2,43.631487059645117,80.778944949853141,16.319599256120846,24.227426622476017,16.319599256120846,24.227426622476017,0.35070601680986063,0.042611366882587494,0.40248572866932031,0.076081560881756549
1185,NH,1980,1,26.534179867535592,32.682127028797481,25.277666900851536,20.685587972206527,25.277666900851536,20.685587972206527,0.44808906968797652,0.064085476005107153,0.54995380485267498,0.072595977654504248
1186,NH,1980,2,5.4268209976284245,10.18877236902363,15.937262161312431,20.364135673692036,15.937262161312431,20.364135673692036,0.34752576288376563,0.11682001542144768,0.439026128793987,0.081255720827343406
1187,NH,1990,1,15.14513387462015,22.295664664635964,30.581272238438746,36.772742887121382,30.581272238438746,36.772742887121382,0.40450883703083163,0.079159941938315728,0.45403785032606736,0.060220628235473417
1188,NH,1990,2,18.07927398005344,18.900055912749142,39.516208745604807,33.453946391416473,39.516208745604807,33.453946391416473,0.48890215243116864,0.08111279221371899,0.54153932757032508,0.057934568869730779
1189,NH,2000,1,21.326742270528083,26.118687991683057,109.44368110274536,117.34043262582038,109.44368110274536,117.34043262582038,0.44950045036295505,0.071468907095424181,0.48258971628734432,0.033108906980669657
1190,NH,2000,2,20.531966371458601,21.911375948869477,116.96102684353374,109.04793556166464,116.96102684353374,109.04793556166464,0.4837499887850466,0.075819149048172343,0.51750614488394087,0.033165163832350714
1191,NH,2010,1,62.055146578738871,61.299905480724476,61.778674687137965,65.55377001362632,61.778674687137965,65.55377001362632,0.5030612491560148,0.044836339357669897,0.48517622379999081,0.044117492356585977
1192,NH,2010,2,68.781064114946517,60.298222358329397,65.187746218098169,61.388861583008953,65.187746218098169,61.388861583008953,0.53285903566864457,0.043744763276711049,0.51500626656490311,0.044247505835161766
1193,NJ,1970,1,8.7396606149963212,4.2848017734560662,7.5353795391995693,4.3576294347708533,7.5353795391995693,4.3576294347708533,0.67101891458836627,0.12546128594375242,0.6335973979076146,0.13418649980154049
1194,NJ,1970,2,9.6145905051891507,7.6288557436484572,11.589486513222761,10.838176294483015,11.589486513222761,10.838176294483015,0.5575794053255031,0.11628336451102078,0.51674963247801298,0.10324325834883363
1195,NJ,1970,3,23.360472344102302,16.624348364950404,61.219008635861208,51.168764490755571,61.219008635861208,51.168764490755571,0.58423351486513997,0.076985060012301168,0.54471235555927855,0.046767422201156164
1196,NJ,1970,4,13.912414543255458,9.5582992562749745,24.692860558446277,19.930798951063103,24.692860558446277,19.930798951063103,0.59275634572024805,0.099321198165296748,0.55335803539788542,0.073601694705957912
1197,NJ,1970,5,8.7172254014883404,17.992744906644106,11.089402032392467,27.240313317354573,11.089402032392467,27.240313317354573,0.3263659712431124,0.089073068516488482,0.28931605495123125,0.072304298662044464
1198,NJ,1970,6,44.907251988708609,64.927465510454113,39.118261676708798,66.87655524810387,39.118261676708798,66.87655524810387,0.40886208851997041,0.046697638459999115,0.36905825031479889,0.046650974705644388
1199,NJ,1970,7,30.628165923124396,30.396284351985297,44.731462193370533,52.503416654340931,44.731462193370533,52.503416654340931,0.5018999070871899,0.063487087945742704,0.46003515120771238,0.050285803736801797
1200,NJ,1970,8,48.336654566681972,20.402498539952958,90.659704273252075,44.979442432481804,90.659704273252075,44.979442432481804,0.70318955620092383,0.054706314841401982,0.66838893103578934,0.04027555773323304
1201,NJ,1970,9,11.473576219902469,11.430993948240509,14.573814448897313,17.070342837590221,14.573814448897313,17.070342837590221,0.50092955841016362,0.10226541481740142,0.46055309095308161,0.087239159817861844
1202,NJ,1970,10,62.662881532634444,11.65977343063358,52.961273263618395,11.726666558775049,52.961273263618395,11.726666558775049,0.84311952477483332,0.041905035382545391,0.81871943068566311,0.047533561602430191
1203,NJ,1970,11,49.009284008811449,24.392375878680639,79.027258862832767,46.34949173837061,79.027258862832767,46.34949173837061,0.66768631777444054,0.054609605271428489,0.63031828854937844,0.042939832389259316
