Year,ABBcode,YrStatAbbCD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,"Other, inc LDS"
2012,AK0,2012AK0,33.90910844,66.09089156,14.2150934,7.161895214,14.2150934,4.529512229
2012,AL1,2012AL1,59.47555948,40.52444052,36.10764396,6.78613189,36.39855555,0.541098023
2012,AL2,2012AL2,62.58523879,37.41476121,41.72422102,1.970163534,40.49969264,0.965947133
2012,AL3,2012AL3,59.78441825,40.21558175,38.75460441,2.244027787,37.78780685,0.657860429
2012,AL4,2012AL4,68.26852354,31.73147646,54.70681561,5.247778042,50.27133695,0.588446629
2012,AL5,2012AL5,55.21503007,44.78496993,39.34660792,3.651288481,38.62425496,0.950046778
2012,AL6,2012AL6,65.74622778,34.25377222,42.36476854,4.729974875,44.60064512,0.687482937
2012,AL7,2012AL7,70.57707119,29.42292881,41.81620255,4.780107773,41.01742281,0.699430291
2012,AR1,2012AR1,54.51261753,45.48738247,42.67174063,1.582099015,41.61473303,0.719588196
2012,AR2,2012AR2,52.89182394,47.10817606,35.19924086,4.805310783,35.19868567,0.878918035
2012,AR3,2012AR3,53.85976046,46.14023954,37.04647906,7.375717877,37.29175228,1.4410593
2012,AR4,2012AR4,60.98721807,39.01278193,41.87026103,2.293502964,41.83026665,0.800958642
2012,AZ1,2012AZ1,32.67200055,67.32799945,8.684032542,10.10688852,12.10501365,6.283430195
2012,AZ2,2012AZ2,35.64420176,64.35579824,12.45906614,12.6739814,10.08007312,3.291804942
2012,AZ3,2012AZ3,39.07346827,60.92653173,14.00148332,13.63990153,12.43639363,5.40309557
2012,AZ4,2012AZ4,39.07346827,60.92653173,14.00148332,13.63990153,12.66274554,5.879818455
2012,AZ5,2012AZ5,39.07346827,60.92653173,14.00148332,13.63990153,14.00148332,6.359040082
2012,AZ6,2012AZ6,36.46558349,63.53441651,12.71780866,13.16054735,14.00148332,6.359040082
2012,AZ7,2012AZ7,37.42042829,62.57957171,10.04666764,19.18711077,14.00148332,6.359040082
